Contract Name,Service Receiver,Service Name,Origin Company Code,Origin Facility Code,Origin City,Origin State,Destination Company Code,Destination Facility Code,Destination City,Destination State,Vehicle Type,Charge Type,Charges,Charge Uom,Invoice From,Invoice To,Tax Applicable,When To Invoice,Billing Cycle Period,Start Date,End Date,Number Of Invoices In The Period,Payment Mode,Facility Category,Original Customer,Product Category,Profit Center,Business Area,Internal Order Number,Payment Terms,Shipx Error
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Pudukkottai,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,10553,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Salem,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,7274,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Thanjavur,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,10170,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Tirunelveli,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,13322,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Tirupur,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,10545,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Trichirapalli,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,9324,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Vellore,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,5782,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Hosur,Tamil Nadu,Container CMVR-18.75 MT,Freight charge,5137,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Hyderabad,Telangana,Container CMVR-18.75 MT,Freight charge,7422,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Karimnagar,Telangana,Container CMVR-18.75 MT,Freight charge,10343,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Khammam,Telangana,Container CMVR-18.75 MT,Freight charge,10629,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Nizamabad,Telangana,Container CMVR-18.75 MT,Freight charge,10180,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Secunderabad,Telangana,Container CMVR-18.75 MT,Freight charge,7422,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Warangal,Telangana,Container CMVR-18.75 MT,Freight charge,10135,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Goa,Goa,Container CMVR-18.75 MT,Freight charge,12941,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Ahmedabad,Gujarat,Container CMVR-18.75 MT,Freight charge,16190,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Anand,Gujarat,Container CMVR-18.75 MT,Freight charge,16064,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Bharuch,Gujarat,Container CMVR-18.75 MT,Freight charge,14971,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
